,tagX,tagY,StartTime,Weight
261,1103,1004,1605172986,4
262,1103,1004,1605173047,10
263,1103,1004,1605173221,7
264,1104,1004,1605172633,10
265,1106,1004,1605173077,8
266,1106,1004,1605173356,10
267,1106,1004,1605173674,2
268,1107,1004,1605172758,10
269,1107,1004,1605172954,9
270,1107,1004,1605173077,8
271,1107,1004,1605173194,10
272,1107,1004,1605173261,28
273,1107,1004,1605173360,90
274,1107,1004,1605173518,17
275,1107,1004,1605173581,33
276,1108,1004,1605172802,9
277,1108,1004,1605172874,17
278,1108,1004,1605172958,73
279,1108,1004,1605173092,9
280,1108,1004,1605173188,61
281,1108,1004,1605173351,78
282,1108,1004,1605173518,8
283,1108,1004,1605173594,10
284,1109,1004,1605172958,70
285,1109,1004,1605173077,8
286,1109,1004,1605173161,5
287,1109,1004,1605173239,10
288,1109,1004,1605173356,13
289,1109,1004,1605173449,8
290,1109,1004,1605173650,32
291,1201,1004,1605172790,7
292,1201,1004,1605172833,68
293,1201,1004,1605172969,6
294,1201,1004,1605173043,19
295,1201,1004,1605173122,82
296,1201,1004,1605173374,55
297,1201,1004,1605173495,44
298,1202,1004,1605172865,48
299,1202,1004,1605172958,70
300,1202,1004,1605173161,12
301,1202,1004,1605173294,7
302,1202,1004,1605173379,14
303,1202,1004,1605173504,50
304,1202,1004,1605173593,8
305,1203,1004,1605172672,10
306,1203,1004,1605172781,5
307,1203,1004,1605172877,10
308,1203,1004,1605172927,63
309,1203,1004,1605173077,5
310,1203,1004,1605173161,5
311,1203,1004,1605173363,52
312,1203,1004,1605173587,8
313,1203,1004,1605173644,17
314,901,1005,1605172772,10
315,901,1005,1605172916,27
316,901,1005,1605173221,19
317,901,1005,1605173366,18
318,901,1005,1605173603,54
319,904,1005,1605173298,10
320,904,1005,1605173414,36
321,904,1005,1605173487,40
322,904,1005,1605173566,87
323,1001,1005,1605171967,17
324,1001,1005,1605172107,18
325,1001,1005,1605172964,16
326,1001,1005,1605173026,59
327,1001,1005,1605173145,9
328,1001,1005,1605173225,10
329,1001,1005,1605173546,7
330,1002,1005,1605171972,12
331,1002,1005,1605172110,15
332,1002,1005,1605172715,52
333,1002,1005,1605173320,6
334,1002,1005,1605174052,10
335,1002,1005,1605174108,122
336,1003,1005,1605171967,16
337,1003,1005,1605172113,10
338,1003,1005,1605173146,8
339,1003,1005,1605173320,6
340,1003,1005,1605173540,7
341,1003,1005,1605174157,10
342,1004,1005,1605171969,13
343,1004,1005,1605172108,16
344,1004,1005,1605172833,51
345,1004,1005,1605173639,11
346,1004,1005,1605174115,52
347,1006,1005,1605171970,15
348,1006,1005,1605172108,16
349,1006,1005,1605172301,11
350,1006,1005,1605173710,10
351,1006,1005,1605174032,201
352,1007,1005,1605171969,14
353,1007,1005,1605172105,15
354,1007,1005,1605173766,10
355,1007,1005,1605174079,11
356,1101,1005,1605172901,10
357,1102,1005,1605173019,8
358,1102,1005,1605173620,10
359,1103,1005,1605172920,8
360,1104,1005,1605173766,10
361,1107,1005,1605173282,1
362,1108,1005,1605173407,12
363,1201,1005,1605173640,10
364,1202,1005,1605173508,10
365,1203,1005,1605172706,10
366,1203,1005,1605172783,28
367,1203,1005,1605172855,57
368,1203,1005,1605173020,10
369,1203,1005,1605173282,7
370,1001,1006,1605171968,19
371,1001,1006,1605172110,12
372,1001,1006,1605173581,4
373,1001,1006,1605173875,10
374,1001,1006,1605174028,84
375,1001,1006,1605174155,78
376,1002,1006,1605171967,19
377,1002,1006,1605172110,15
378,1002,1006,1605172302,11
379,1002,1006,1605172916,6
380,1002,1006,1605174028,204
381,1003,1006,1605171968,17
382,1003,1006,1605172106,19
383,1003,1006,1605172302,11
384,1003,1006,1605172645,10
385,1003,1006,1605172861,6
386,1003,1006,1605173648,9
387,1003,1006,1605173875,10
388,1003,1006,1605174032,201
389,1004,1006,1605171970,16
